,lesson,en,es,fr,zh,de,ja,it,nl,ru,pt,ko,el,ar,he,th,ln,ta,hi,pl,tl,sv,ro,no,tr,fi,fa,da,in,cs,hu,be,uk,am,sw,bg,hr,eo
31,1210,"Geography: Countries, Cities...","Geografía: Países, Ciudades...","Géographie: Pays, Villes","地理: 國家, 城市...","Geografie: Länder, Städte…",地理: 国、都市など,"Geografia: Stati, Città","Geografie: Landen, Steden…","География: страны, города...","Geografia: Países, Cidades...",지리,"Γεωγραφία: Χώρες, πόλεις...",الجغرافية: البلدان، المدن. . .,"גיאוגרפיה : ארצות, ערים...",ภูมิศาสตร์: ประเทศ เมือง...ฉันรู้จักโลกที่คูณอาศัยอยู่,"Geographia: Nationes, Urbes…","புவியியல்: நாடுகள், நகரங்கள் ...","भूगोल: देश, शहर…","Geografia: Kraje, Miasta","Heograpiya: Mga Bansa, Siyudad…","Geografi: Länder, Städer…","Geografie: Țări, Orașe…","Geografi: Land, Byer…","Coğrafya: Ülkeler, Şehirler","Maantieto: Maat, Kaupungit…",جغرافیا,"Geografi: Lande, Byer...","Geografi: Negara-negara, Kota-kota...","Zeměpis: Země, města,..","Egy kis földrajz: országok, városok…","Геаграфія: краіны, гарады…","Географія: країни, міста...",መልክአ ምድር,"Geografia: nchi, Majiji…","География: страни, градове…","Zemljopis: Države, gradovi...","Geografio: landoj, urboj. Ekkonu la mondon kie Vi vivas."
32,1220,Nature,Naturaleza,La nature,自然,Natur,自然,La natura,Natuur,Природа,Natureza,자연,Φύση,الطبيعة,טבע,ธรรมชาติ,Natura,இயற்கை,प्रकृति,Natura,Kalikasan,Natur,Natura,Natur,Tabiat,Luonto,طبیعت,Natur,Alam,Příroda,Természet,Прырода,Природа,ሥነ ፍጥረት,Hulka,Природа,Priroda,Naturo
33,1225,Weather,Clima,Le Temps,天氣,Wetter,天気,Tempo Atmosferico,Weer,Погода,Clima,날씨,Καιρός,الطقس,מזג אויר,ภูมิอากาศ,Tempestus,வானிலை,मौसम,Pogoda,Panahon,Väder,Clima,Vær,Hava Durumu,Sää,آب‌وهوا,Vejr,Cuaca,Počasí,Az időjárás,Надвор`е,Погода,አየር,Hali ya hewa,Време,Vremenske prilike,Vetero
34,1230,"Materials, Substances, Objects, Tools","Materiales, Sustancias, Objetos, Instrumentos","Matériaux, Substances, Objets","材料, 物質, 物體, 工具","Materialien, Stoffe, Objekte, Werkzeuge",材料、物質、物体、道具,"Materiali, Sostanze, Oggetti, Strumenti","Materialen, Stoffen, Dingen, Gereedschap","Материалы, вещества, предметы","Materiais, Substâncias, Objectos, Ferramentas","물질, 재료, 물체, 도구","Υλικά, ουσίες, αντικείμενα, εργαλεία",المواد، مواد أولية، أجسام، أدوات,"מצרכים, חומרים, חפצים, כלים",วัสดุ สสาร วัตถุ เครื่องมือ,Materia,"செய்பொருட்கள், வஸ்துக்கள், பொருள்கள், கருவிகள்","सामग्री, पदार्थ, वस्तु, औज़ार","Materiały, Substancje, Przedmioty, Narzędzia","Mga Materyales, Sustansiya, Bagay, Kasangkapan","Material, Substanser, Objekt, Verktyg","Materiale, Substanțe, Obiecte, Unelte","Materiell, Stoffer, Ting, Verktøy","Materyaller, Madde, Cisim","Materiaalit, Aineet, Esineet, Työkalut",مواد، اجسام، اشیا و ابزار,"Materialer, Stoffer, Genstande, Værktøj","Bahan, Unsur, Obyek, Peralatan","Materiály, látky, objekty, nástroje","Anyagok, hatóanyagok, tárgyak és eszközök.","Матэрыялы, рэчы, прадметы","Матеріали, речовини, предмети",ሥረ ነገር፤ አቃ፣ መሣሪያ,"Nyenzo, nyenzo, vitu, vifaa","Материали, вещества, предмети, инструменти","Materijali, tvari, predmeti, alati","Materialoj, ŝtofoj, objektoj, iloj."
35,1240,Colors,Colores,Couleurs,顏色,Farben,色,Colori,Kleuren,Цвета,Cores,색상,Χρώματα,الألوان,צבעים,สี,Color,நிறங்கள்,रंग,Kolory,Kulay,Färger,Culori,Farger,Renkler,Värit,رنگ‌ها,Farver,Warna-warni,Barvy,Színek,Колер,Кольори.,ቀለም,Rangi,Цветове,Boje,Koloroj
36,1250,"Measures, Measurements",Medidas,Mesures,"措施, 測量","Maße, Messungen",測定、測定値,Misure,"Maten, Afmetingen",Измерения,"Medidas, Medições",단위 측정,"μέτρα, μετρήσεις",وحدات القياس ، المقاييس,"מכשירי מדידה, מדידות",ขนาด การวัด,Dimensiones,"அளவுகள், அளவைகள்","साधन, माप","Miary, Pomiary","Sukat, Batayan ng Sukat",Mätningar,"Măsuri, Măsurători","Størrelser, Måleenheter","Ölçü, Ölçümler","Mitat, Mittaaminen",مقیاس و اندازه گیری,"Mål, Måleenheder","Ukuran, Pengukuran","Míry, měření","Mértékek, mérések",Вымярэнні,Одиницi вимiру,መጠን,"Kupima, Vipimo","Мерки, измервания","Mjere, mjerenja","Mezuroj, mezurado"
37,1260,"Movement, Directions","Movimiento, Direcciones","Mouvement, Directions","運動, 方向","Bewegung, Richtungen",移動、道案内,"Movimento, Direzioni","Beweging, Richtingen","Движение, направления","Movimento, Direcções","이동, 방향","Μετακίνηση, οδηγίες",الحركة، الإتجاهات,"תנועה, כיוונים",การเคลื่อนไหว ทิสทาง,"Motus, Cursus","இயக்கம், திசைகள்","गति, दिशा","Ruch, Kierunki","Galaw, Direksyon","Rörelse, Direktion","Mișcare, Direcție","Bevegelse, Retninger","Hareket, Yönler","Liike, Suunnat",حرکت، جهت‌ها,"Bevægelser, Retninger","Gerakan, Arah","Pohyb, směry","Mozgás, irány","Рух, накірункі","Рух, напрямки",እንቅስቃሴ,"Kusonga, Pande","Движение, посоки","Kretanje, uputstva","Movo, direkto"
38,1270,Various Adjectives,Varios Adjetivos,Divers Adjectifs,各種各樣的形容詞,Diverse Adjektive,様々な形容詞,Vari Aggettivi,Verschillende Bijvoeglijke naamwoorden,Различные прилагательные,Vários Adjectivos,다양한 형용사,Διάφορα επίθετα,صفات متنوعة,שמות תואר שונים,คำคุณศัพท์ที่หลากหลาย,Adposita Varia,பல்வேறு பெயரடைகள்,विभिन्न विशेषण,Różne Przymiotniki,Iba`t ibang Pang-uri,Olika adjektiv,Adjective diverse,Forskjellige adjektiv,Çeşitli sıfatlar,Erilaiset Adjektiivit,صفات گوناگون,Diverse tillægsord,Berbagai Kata Sifat,Různá přídavná jména,Különféle melléknevek,Разнастайныя прыкметнікі,Різні прикметники,ቅጽል,Vivumishi Mbalimbali,Различни прилагателни,Razni pridjevi,Diversaj adjektivoj
39,1280,Various Adverbs 1,Varios Adverbios 1,Divers Adverbes 1,各種各樣的副詞一,Diverse Adverben 1,様々な副詞1,Vari Avverbi 1,Verschillende Bijwoorden 1,Различные наречия 1,Vários Advérbios 1,다양한 부사1,Διάφορα επιρρήματα 1,ظروف متنوعة 1,תוארי פועל שונים 1,คำกริยาวิเศษณ์ที่หลากหลาย 1,Adverbia Varia I,பல்வேறு வினையடைகள் 1,विभिन्न क्रिया-विशेषण १,Różne Przysłówki 1,Iba`t ibang Pang-abay 1,Olika adverb 1,Adjective diverse 2,Forskjellige adverb 1,Çeşitli zarflar 1,Erilaiset Adverbit 1,قید‌های گوناگون 1,Diverse biord 1,Berbagai Kata Keterangan 1,Různá příslovce 1,Különféle határozószavak 1,Разнастайныя прыслоўі 1,Різні прислівники 1,ተውሳከ ግሥ,Vielezi Mbalimbali 1,Различни наречия 1,Razni prilozi 1,Diversaj adverboj 1
40,1285,Various Adverbs 2,Varios Adverbios 2,Divers Adverbes 2,各種各樣的副詞二,Diverse Adverben 2,様々な副詞2,Vari Avverbi 2,Verschillende Bijwoorden 2,Различные наречия 2,Vários Advérbios 2,다양한 부사2,Διάφορα επιρρήματα 2,ظروف متنوعة 2,תוארי פועל שונים 2,คำกริยาวิเศษณ์ที่หลากหลาย 2,Adverbia Varia II,பல்வேறு வினையடைகள் 2,विभिन्न क्रिया-विशेषण २,Różne Przysłówki 2,Iba`t ibang Pang-abay 2,Olika adverb 2,Adverbe diverse,Forskjellige adverb 2,Çeşitli zarflar 2,Erilaiset Adverbit 2,قیدهای گوناگون 2,Diverse biord 2,Berbagai Kata Keterangan 2,Různá příslovce 2,Különféle határozószavak 2,Разнастайныя прыслоўі 2,Різні прислівники 2,ተውሳከ ግሥ2,Vielezi Mbalimbali 2,Различни наречия 2,Razni prilozi 2,Diversaj adverboj 2
41,1290,Various Verbs 1,Varios Verbos 1,Divers Verbes 1,各種各樣的動詞一,Diverse Verben 1,様々な動詞1,Vari Verbi 1,Verschillende Werkwoorden 1,Различные глаголы 1,Vários Verbos 1,다양한 동사1,Διάφορα ρήματα 1,أفعال متنوعة 1,פעלים שונים 1,กริยาที่หลากหลาย 1,Actiones Variae I,பல்வேறு வினைச் சொற்கள் 1,विभिन्न क्रियाएं १,Różne Czasowniki 1,Iba`t ibang Pandiwa 1,Olika Verb 1,Verbe diverse 1,Forskjellige verb 1,Çeşitli fiiller 1,Erilaiset Verbit 1,فعل‌های گوناگون 1,Diverse udsagnsord 1,Berbagai Kata Kerja 1,Různá slovesa 1,Különféle igék 1,Разнастайныя дзеясловы 1,Різні дієслова 1,ግሥ,Viarifa Mbalimbali 1,Различни глаголи 1,Razni glagoli 1,Diversaj verboj 1
42,1295,Various Verbs 2,Varios Verbos 2,Divers Verbes 2,各種各樣的動詞二,Diverse Verben 2,様々な動詞2,Vari Verbi 2,Verschillende Werkwoorden 2,Различные глаголы 2,Vários Verbos 2,다양한 동사2,Διάφορα ρήματα 2,أفعال متنوعة 2,פעלים שונים 2,กริยาที่หลากหลาย 2,Actiones Variae II,பல்வேறு வினைச் சொற்கள் 2,विभिन्न क्रियाएं २,Różne Czasowniki 2,Iba`t ibang Pandiwa 2,Olika Verb 2,Verbe diverse 2,Forskjellige verb 2,Çeşitli fiiller 2,Erilaiset Verbit 2,فعل‌های گوناگون 2,Diverse udsagnsord 2,Berbagai Kata Kerja 2,Různá slovesa 2,Különféle igék 2,Разнастайныя дзеясловы 2,Різні дієслова 2,ግሥ2,Viarifa Mbalimbali 2,Различни глаголи 2,Razni glagoli 2,Diversaj verboj 2
43,1300,"Pronouns, Conjunctions, Prepositions","Pronombres, Conjunción, Preposiciones","Pronoms, Conjonctions, Prépositions","代詞, 連結詞, 介詞","Pronomen, Konjunktionen, Präpositionen",代名詞、接続詞、前置詞,"Pronomi, Congiunzioni, Preposizioni","Voornaamwoorden, Voegwoorden, Voorzetsels","Местоимения, союзы, предлоги","Pronomes, Conjunções, Preposições","대명사, 접속사, 전치사","Αντωνυμίες, κλίσεις, προθέσεις",الضمائر، إرتباطات، حروف جرّ,"כינוי-השם , מילות חיבור, מילות יחס",คำสรรพนาม คำสันธาน คำบุรพบท,"Conjugationes, Praepositiones","பதிலிடு பெயர்கள், இணைப்புச் சொற்கள், முன்னுருபுகள்","सर्वनाम, संयोजक, पूर्वसर्ग","Zaimki, Spójniki, Przyimki","Mga Panghalip, Pangatnig, Pang-ukol","Pronomen, konjunktion, prepositioner","Pronume, Conjucții, Prepoziții","Pronomen, konjunksjoner, preposisjoner","Zamirler, Bağlaçlar, Edatlar","Pronominit, Konjunktiot, Prepositiot",ضمائر، حروف ربط و حروف اضافه,"Stedord, Bindeord, Forholdsord","Kata Ganti, Kata Sambung, Kata Depan","Zájmena, spojky, předložky","És akkor néhány kiegészítés: névmások, kötőszavak és névelők","Займеннікі, злучнікі, прыназоўнікі","Займенники, сполучники, прийменники",ተውላጠ ስም፣ መጣመር፣ መስተዋደድ,"Viwakilishi, Viungo, Vijina","Местоимения, Съюзи, Предлози","Zamjenice, veznici, prijedlozi","Pronomoj, konjunkcioj, prepozicioj"
