,en,es,fr,zh,de,ja,it,nl,ru,pt,ko,el,ar,he,th,ln,ta,hi,tl,sv,no,tr,fi,fa,da,in,cs,hu,be,uk,am,sw,bg,hr,eo,pl,ro,lesson,lexid
20,a niece,una sobrina,une nièce,侄女,eine Nichte,めい (Mei),una nipote,een nicht,племянница (plemjannitsa),uma sobrinha,여자조카,μια ανηψιά,أبنة الأخت,אחיינית,หลานสาว,sororis fratris,மருமகள்,"भतीजी, भांजी",pamangking babae,en brorsdotter,en niese,kız yeğen,veljentytär,دختر برادر یا دخترخواهر,en niece,seorang keponakan perempuan,neteř,unokahúg,пляменніца,племінниця (plemіnnytsja),የወንድም ወይም የህት ሴት ልጅ (ya-wa-ne-de-me wa-ye-me ya-he-te see-te le-je),mpwa,племенница,nećakinja,nevino,"Siostrzenica, bratanica",o nepoată,1045,340
21,a sister,una hermana,une soeur,姊妹,eine Schwester,姉妹 (Shimai),una sorella,een zus,сестра (sestra),uma irmã,자매,μια αδελφή,الأخت,אחות,,soror,சகோதரி,बहन,kapatid na babae,en syster,en søster,kız kardeş,sisko,خواهر,en søster,seorang saudara perempuan,sestra,lánytestvér,сястра,сестра (sestra),እህት (ʾe-he-te),dada,сестра,sestra,fratino,Siostra,o soră,1045,410
22,a sister-in-law,una cuñada,une belle-soeur,夫或妻的姊妹,eine Schwägerin,義理の姉妹 (GiriNoShimai),una cognata,een schoonzus,"сноха, золовка (snokha, zolovka)",uma cunhada,배우자의 자매,μια κουνιάδα,الكنّة,גיסה,,,மைத்துனி,"ननद, भाभी,",isang hipag,en svägerska,en svigerinne,"yenge, elti",käly,خواهرشوهر/خواهرزن,en svigerinde,seorang saudara ipar perempuan,švagrová,sógornő,"нявестка, залоўка","невістка, зовиця (nevіstka, zovytsja)",የወንድም ሚስት / አይት (ya-wa-ne-de-me mi-se-te / ʾa-ye-te),shemeji,"зълва, снаха, бълдъза, етърва",šogorica,bofratino,Bratowa,o cumnată,1045,180
23,a son,un hijo,un fils,兒子,ein Sohn,息子 (Musuko),un figlio,een zoon,сын (syn),um filho,아들,ένας γιος,الإبن,בן,ลูกชาย,filius,மகன்,बेटा,isang anak na lalake,en son,en sønn,oğul,poika,پسر,en søn,seorang anak lelaki,syn,fiúgyermek,сын,син (syn),ወንድ ልጅ (wa-ne-de le-je),mtoto wa kiume,син,sin,filo,Syn,un fiu,1045,250
24,a stepbrother,un hermanastro,un demi-frère,異父[異母]兄弟,ein Stiefbruder,継兄弟 (KeiKyoudai),un fratellastro,een stiefbroer,сводный брат (svodnyj brat),um irmão adoptivo,양형제,ένας θετός αδελφός,إبن الزوج,אח חורג,พี่เลี้ยงชาย,filius vitrici or novercae,மாற்றான் சகோதரன்,सौतेला भाई,isang kinakapatid na lalake,en styvbror,en stebror,üvey erkek kardeş,velipuoli,برادر ناتنی,en stedbror,seorang saudara laki-laki tiri,nevlastní bratr,mostoha fiútestvér,зводны брат,зведений брат (zvedenyj brat),የእንጀራ እናት ወይም አባት ልጅ (ya-ʾe-ne-ja-raa ʾe-naa-te wa-ye-me ʾa-baa-te le-je),kaka kambo,доведен брат,polubrat,duonfrato,Brat przyrodni,un frate vitreg,1045,270
25,a stepfather,un padrastro,un beau-père,繼父,ein Stiefvater,継父 (Mamachichi),un patrigno,een stiefvader,отчим (otchim),um padastro,양아버지,ένας πατριός,زوج الأمّ,אב חורג,พ่อเลี้ยง,vitricus,மாற்றாந்தந்தை,सौतेले पिता,isang amain,en styvfar,en stefar,üvey baba,isäpuoli,ناپدری,en stedmor,seorang ayah tiri,nevlastní otec,mostohaapa,айчым,вітчим (vіtchym),የእንጀራ አባት (ya-ʾe-ne-ja-raa ʾa-baa-te),baba kambo,втори баща,očuh,duonpatro,Ojczym,un tată vitreg,1045,130
26,a stepmother,una madrastra,une belle-mère,繼母,eine Stiefmutter,継母 (Mamahaha),una matrigna,een stiefmoeder,мачеха (machekha),uma madrasta,양어머니,μια θετή μητέρα,زوجة الأبّ,אם חורגת,แม่เลี้ยง,noverca,மாற்றாந்தாய்,सौतेली मां,isang madrasta,en styvmor,en stemor,üvey anne,äitipuoli,نامادری,en stedmor,seorang ibu tiri,nevlastní matka,mostohaanya,мачаха,мачуха (machukha),የእንጀራ እናት (ya-ʾe-ne-ja-raa ʾe-naa-te),mama kambo,мащеха,maćeha,duonpatrino,Macocha,o mamă vitregă,1045,160
27,a twin,un mellizo,un jumeau,雙胞胎,ein Zwilling,双子 (Futago),un gemello,een tweeling,близнец (bliznets),um gémeo,쌍둥이,ένας δίδυμος,التوأم,תאום,คู่แฝด,geminus,இரட்டை,जुड़वा,isang kambal,en tvilling,en tvilling,ikiz,kaksonen,دوقلو,en tvilling,kembar,dvojče,ikrek,блязнец,близнюк (blyznjuk),መንታ (ma-ne-taa),pacha,близнак,blizanac,ĝemelo,Bliźniak,un geamăn,1045,520
28,a wedding,una boda,le mariage,婚禮,eine Hochzeit,結婚式 (Kekkonshiki),un matrimonio,een bruiloft,свадьба (svad'ba),um casamento,결혼식,ένας γάμος,الزفاف,חתונה,งานแต่งงาน,sponsal,கல்யாணம்,विवाह,isang kasal,ett bröllop,et bryllup,düğün,häät,عروسی,et bryllup,sebuah pernikahan,svatba,esküvő,вяселле,весілля (vesіllja),ሠርግ (sza-re-ge),harusi,сватба,vjenčanje,edziĝfesto,Ślub,o nuntă,1045,470
29,a wedding dress,un vestido de bodas,une robe de mariée,婚紗,ein Brautkleid (Hochzeitskleid),ウエディングドレス (Uedeingudoresu),un vestito da sposa,een bruiloftsjurk,свадебное платье (svadebnoe plat'e),um vestido de noiva,웨딩 드레스,ένα γαμήλιο φόρεμα,لباسِ الزفاف,שמלת כלה,ชุดเจ้าสาว,,திருமண உடை,शादी का जोड़ा,isang damit pangkasal,en brudklänning,en brudekjole,gelinlik,hääpuku,لباس عروسی,en brudekjole,sebuah gaun pengantin,svatební šaty,menyasszonyi ruha,святочны ўбор,весільне плаття (vesіl'ne plattja),የሠርግ ቀሚስ (ya-sza-re-ge qa-mi-se),vazi la harusi,сватбена рокля,vjenčanica,edzinrobo,Suknia ślubna,o rochie de nuntă/mireasă,1045,480
30,a wife,una esposa,une femme,妻,eine Ehefrau,妻 (Tsuma),una moglie,een echtgenote,жена (zhena),uma esposa,부인,μια σύζυγος,الزوجة,אישה,ภรรยา,uxor,மனைவி,पत्नी,isang asawang babae,en fru,ei kone,hanım,vaimo,همسر,en hustru,seorang istri,manželka,feleség,"жонка, гаспадыня",дружина (druzhyna),ሚስት (mi-se-te),bibi,"жена, съпруга",supruga,edzino,Żona,o soție,1045,230
31,an ancestor,un antepasado,un ancêtre,祖先,ein Vorfahre / eine Vorfahrin,先祖 (Senzo),un antenato,een voorouder,предок (predok),um antepassado,조상,ένας πρόγονος,سلف,אב קדמון,บรรพบุรุษ,progenitor,மூதாதையர்,पूर्वज,isang ninuno,en förfader,en forfader,ced,esi-isä,جد,en forfader,seorang leluhur,předek,előd,продак,пращур (prashchur),ትውልድ (te-we-le-de),mhenga,прародител,predak,praulo,Przodek,un străbun/strămoș,1045,530
32,an aunt,una tía,une tante,姨媽,eine Tante,おば (Oba),una zia,een tante,тетя (tetja),uma tia,이모,μια θεία,عمّة,דודה,,amita,அத்தை,"चाची, मामी, मौसी, फूफी",isang tiya,en moster,en tante,"hala, teyze",täti,عمه، /خاله,en tante,seorang tante,teta,nagynéni,цётка,тітка (tіtka),አክስት (ʾa-ke-se-te),shangazi,леля,,onklino,Ciotka,o matușă,1045,420
33,an uncle,un tío,un oncle,伯父,ein Onkel,おじ (Oji),uno zio,een oom,дядя (djadja),um tio,삼촌,ένας θείος,عمّ,דוד,,avunculus,மாமா,"चाचा, मामा, फूफा, मौसा",tiyo,en farbror,en onkel,"amca, dayı",setä,دایی یا عمو,en onkel,seorang paman,strýc,nagybácsi,дзядзька,дядько (djad'ko),አጎት (ʾa-go-te),Amu / Mjomba,чичо,,onklo,Wujek,un unchi,1045,350
34,father,padre,père,父親,Vater,父 (Chichi),padre,vader,отец (otets),pai,아버지,πατέρας,الأبّ,אב,พ่อ,pater,தந்தை,पिता,ama,far,far,baba,isä,پدر,fader,ayah,otec,apa,бацька,батько (bat'ko),አባት (ʾa-baa-te),baba,баща,otac,patro,Ojciec,tată,1045,120
35,grandchildren,nietos,des petits-enfants,孫,die Enkelkinder,孫 (Mago),nipoti,kleinkinderen,внуки (vnuki),netos,손주,εγγόνια,الأحفاد,נכדים,หลาน,"nepi, nepae",பேரக்குழந்தைகள்,"पौत्र, नाती",mga apo,barnbarn,barnebarn,torunlar,lapsenlapset,نوه‌ها,børnebørn,cucu,vnoučata,unokák,унукі,онуки (onuky),የልጅ ልጆች (ya-le-je le-jo-ce),wajukuu,внуци,unuci,genepoj,Wnuki,nepoți,1045,400
36,grandparents,abuelos,des grand-parents,祖父母,die Großeltern,祖父母 (Sofubo),nonni,grootouders,,avós,조부모님,παππούδες και γιαγιάδες,الأجداد,סבא וסבתא,ปู่ย่าตายาย,avi,தாத்தா பாட்டி,"दादा-दादी, नाना-नानी",lolo at lola,farföräldrar,besteforeldre,,isovanhemmat,پدربزرگ و مادربزرگ,bedsteforældre,kakek-nenek,prarodiče,nagyszülők,прабацькі,,አያቶች (ʾa-yaa-to-ce),wakongwe,дядо и баба,djed i baka,geavoj,Dziadkowie,bunici,1045,310
37,mother,madre,mère,母親,Mutter,母 (Haha),madre,moeder,мать (mat'),mãe,어머니,μητέρα,الأمّ,אם,แม่,mater,தாய்,मां,ina,mor,mor,anne,äiti,مادر,moder,ibu,matka,anya,маці,мати (maty),እናት (ʾe-naa-te),mama,майка,majka,patrino,Matka,mamă,1045,110
38,parents,padres,des parents,雙親,die Eltern,両親 (Ryoushin),genitori,ouders,родители (roditeli),pais,부모님,γονείς,الأباء,הורים,พ่อแม่,parentes,பெற்றோர்,माता पिता,magulang,föräldrar,foreldre,anne-baba,vanhemmat,والدین,forældre,orangtua,rodiče,szülők,бацькі,батьки (bat'ky),ወላጆች (wa-laa-jo-ce),wazazi,родители,roditelji,gepatroj,Rodzice,parinți,1045,360
39,relatives,parientes,des parents,親戚,die Verwandtschaft,親類 (Shinrui),parenti,verwanten,родственники (rodstvenniki),parentes,친척,συγγενείς,الأقرباء,קרובי משפחה,ญาติ,propinqui,உறவினர்கள்,संबंधी,kamaganak,familjemedlemmer,slektninger,akraba,sukulaiset,بستگان,slægtninge,sanak saudara,příbuzní,rokonok,сваякі,родичі (rodychі),ቤተ ዘመዶች (bee-ta za-ma-do-ce),jamaa,роднини,ređaci,parencoj,Krewni,rude,1045,370
40,step parents,padres adoptivos,des beaux-parents,繼父母,Stiefeltern,義理の両親 (GiriNoRyoushin),,stiefouders,,pais adoptivos,양부모님,θετοί γονείς,زوجة الأب,,พ่อแม่เลี้ยง,,மாற்றான் பெற்றோர்,सौतेले मां-बाप,tagapag-alaga,styvföräldrar,steforeldre,üvey anne-baba,adoptiovanhemmat,والدین ناتنی,stedforældre,orangtua tiri,nevlastní rodiče,mostohaszülők,прыемныя бацькі,,የእንጀራ አባትና እናት (ya-ʾe-ne-ja-raa ʾa-baa-te-naa ʾe-naa-te),wazazi kambo,осиновители,pomajka i poočim,gebopatroj,rodzice zastępczy,socrii,1045,150
41,the whole family,toda la familia,toute la famille,全家,die ganze Familie,家族全員 (Kazokuzen'in),tutta la famiglia,de hele familie,вся семья (vsja sem'ja),toda a família,가족 전체,ολόκληρη η οικογένεια,العائلة الكاملة,כל המשפחה,ทั้งครอบครัว,omnia familia,முழு குடும்பம்,संपूर्ण पऱिवार,ang buong pamilya,hela familjen,hele familien,bütün aile,koko perhe,تمام خانواده,hele familien,seluruh keluarga,celá rodina,a teljes család,уся сям`я,вся родина (vsja rodyna),ሙሉ ቤተሰብ (mu-lu bee-ta-sa-be),familia yote,цялото семейство,cijela obitelj,la tuta familio,Cała rodzina,întreaga familie,1045,220
42,to date (someone),salir (con alguien),fréquenter (quelqu'un),與某人約會,(mit jemanden) ausgehen,デートする(だれかと) (De^toSuru(Darekato)),frequentare (qualcuno),uitgaan (met iemand),встречаться (с кем-то) (vstrechat'sja (s kem-to)),namorar,데이트하다,έχω σχέση (με κάποιον),لمواعدة (شخص ما),לצאת (עם מישהו),ออกเดท,convenio (to meet),(ஒருவருடன்) காதல் சந்திப்பு,किसी से मिलना,lumabas kasama ang isang tao,att dejta (någon),å date (noen),flört etmek,seurustella (jonkun kanssa),قرار ملاقات (معمولا با دوست پسر یا دوست دختر),at gå ud med (nogen),mengencani (seseorang),chodit s (někým),randevúzni (valakivel),сустракацца (з кімсьці),зустрічатися (з кимсь) (zustrіchatysja (z kyms')),ማውጣት (maa-we-thaa-te),kuchimbiana,срещам се (с някого),hodati (sa nekim),frekventi,Chodzić z (kimś),a ieși (cu cineva),1045,500
43,to marry (someone),casarse (con alguien),épouser (quelqu'un),與某人結婚,(jemanden) heiraten,結婚する(だれかと) (KekkonSuru(Darekato)),sposare (qualcuno),trouwen (met iemand),жениться (на ком-то) (zhenit'sja (na kom-to)),casar,결혼하다,παντρεύομαι (κάποιον),ليتزَاج (شخص ما),לחתן,แต่งงาน,nubere,(ஒருவரை) திருமணம் செய்தல்,विवाह करना,magpakasal,att gifta sig med (någon),å gifte seg (med noen),evlenmek,mennä naimisiin (jonkun kanssa),ازدواج کردن (با کسی),at gifte sig med (nogen),menikahi (seseorang),vzít si (někoho),megházasodni (valakivel),ажаніцца (з кімсьці),одружитися (з кимось) (odruzhytysja (z kymos')),ማግባት (maa-ge-baa-te),kuoa,женя се (за някого),vjenčati se (za nekoga),geedziĝi,Wyjść za (kogoś),a se căsători (cu cineva),1045,490
44,wedding anniversary,aniversario de bodas,un anniversaire de mariage,結婚紀念日,der Hochzeitstag,結婚記念日 (Kekkonkinenbi),anniversario di matrimonio,huwelijks-jubileum,годовщина свадьбы (godovshchina svad'by),aniversário de casamento,결혼 기념일,γαμήλια επέτειος,ذكرى الزفاف,יום נישואין,วันครบรอบแต่งงาน,anniversarium nuptiae,திருமண தினம்,शादी की साल-गिरह,anibersaryo ng kasal,bröllopsdag,bryllupsdag,evlilik yıldönümü,hääpäivä,سالگرد ازدواج,bryllupsdag,ulang tahun pernikahan,výročí svatby,esküvői évforduló,угоддзе вяселля,річниця весілля (rіchnytsja vesіllja),የጋብቻ አመት በዓል (ya-gaa-be-caa ʾa-ma-te ba-ʿaa-le),Kumbusho la siku ya harusi,годишнина от сватбата,godišnjica braka,datreveno de geedziĝo,Rocznica ślubu,aniversarea căsătoriei,1045,450
0,(piece of) advice,consejo,un conseil,一點的意見,(ein) Rat,忠告 (Chuukoku),un consiglio,advies,совет (sovet),conselho,충고,μια συμβουλή,نصيحة,עצה,คำแนะนำ,consilium,ஓர் அறிவுரை,सलाह,munting payo,ett råd,et råd,tavsiye,neuvo,یک نصیحت,(et) råd,(sedikit) saran,rada,tanács,парада,порада (porada),ምክር (me-ke-re),ushauri,съвет,savjet,konsilo,Rada,un sfat,1050,400
1,a baby,un bebé,un bébé,嬰兒,ein Baby,赤ん坊 (Akanbou),un neonato,een baby,малыш (malysh),um bebé,아기,ένα μωρό,الطفل الرضيع,תינוק,เด็กทารก,infantulus,சிறு குழந்தை,शिशु,isang sanggol,en bebis,en baby,bebek,vauva,نوزاد,en baby,sorang bayi,miminko,csecsemő,малы,малюк (maljuk),ሕፃን (hhe-tzaa-ne),mtoto,бебе,beba,bebo,Dziecko,un bebe(luș),1050,240
2,a bouquet,un ramo,un bouquet,花束,ein Bukett,花束 (Hanataba),un bouquet,een boeket,букет (buket),um ramo,꽃다발,μια ανθοδέσμη,الباقة,זר,ช่อดอกไม้,,பூச்செண்டு,गुलदस्ता,isang boquet,en bukett,en bukett,buket,kukkakimppu,دسته گل,en buket,sebuah buket,puget,egy csokor,букет,букет (buket),እቅፍ አበባ (ʾe-qe-fe ʾa-ba-baa),fungu la maua,букет,buket,bukedo,Bukiet,un buchet,1050,360
3,a boy,un muchacho,un garçon,男孩,ein Junge,少年 (Shounen),un ragazzo,een jongen,мальчик (mal'chik),um rapaz,소년,ένα αγόρι,الولد,ילד,เด็กชาย,puer,சிறுவன்,लड़का,isang lalake,en pojke,en gutt,erkek,poika,پسر,en dreng,seorang pemuda,chlapec,fiú,хлопчык,хлопчик (khlopchyk),ወጣት ወንድ ልጅ (wa-thaa-te wa-ne-de le-je),Mvulana,момче,dječak,knabo,"Chłopiec, chłopak",un băiat,1050,200
4,a crowd,una muchedumbre,une foule,群眾,eine Menschenmenge,群衆 (Gunshuu),una folla,een menigte,толпа (tolpa),uma multidão,군중,ένα πλήθος,الحشد,המון,ฝูงชน,turba,கூட்ட நெரிசல்,भीड़,madla,en folksamling,en folkesamling,kalabalık,väkijoukko,جمعیت,en folkemængde,kerumunan,zástup lidí,tömeg,натоўп,юрба (jurba),የተሰበሰበ ሕዝብ (ya-ta-sa-ba-sa-ba hhe-ze-be),umati,тълпа,mnoštvo,homamaso,Tłum,o mulțime,1050,270
5,a fellow,un muchacho,un bonhomme,伙伴,ein Gefährte,仲間 (Nakama),un compagno,een maat,парень (paren'),um rapaz,동료,ένας συνεργάτης,الزميل,נער,เพื่อนผู้ชาย,compar,சஹ (மனிதர்),साथी,isang tao,en kamrat,en kamerat,delikanlı,kaveri,یارو,en fyr,seorang kawan,společník,cimbora,хлопец,хлопець (khlopets'),ሰው (sa-we),mwenzangu,момче,momak,ulo,Kolega,un individ,1050,530
6,a first name,un primer nombre,un prénom,名字,ein Vorname,名 (Mei),un nome,een voornaam,имя (imja),um primeiro nome,이름,ένα όνομα,الاسم الأول,שם פרטי,ชื่อต้น,nomen,முதல் பெயர்,प्रथम नाम,pangalan,ett förnamn,et fornavn,ön isim,etunimi,اسم,et fornavn,sebuah nama depan,křestní jméno,keresztnév,імя,ім'я (іm`ja),ስም (se-me),jina la kwanza,име,ime,antaŭnomo,imię,un prenume,1050,170
7,a fool,un tonto,un fou,笨人,ein Dummkopf / ein Narr / ein Tor,馬鹿 (Baka),uno stupido,een dwaas,дурак (durak),um tolo,바보,ένας ανόητος,الأحمق,טיפש,คนบ้า,stultus,முட்டாள்,मूर्ख,isang tanga,en dumbom,en tosk,deli,typerys,احمق,et fjols,seorang yang bodoh,blázen,buta,дурань,дурень (duren'),ጅል (je-le),mpumbavu,глупак,budala,stultulo,"Głupiec, szaleniec",un prost,1050,380
8,a friend,un amigo,un ami,朋友,ein Freund,友人 (Yuujin),un amico,een vriend,друг (drug),um amigo,친구,ένας φίλος,الصديق,חבר,เพื่อน,amicus,நண்பர்,मित्र,isang kaibigan,en vän,en venn,arkadaş,ystävä,دوست,en ven,seorang teman,přítel,barát,сябар,друг (druh),ጛደኛ (ggaa-da-nyaa),rafiki,приятел,prijatelj,amiko,Przyjaciel,un prieten,1050,130
9,a gift,un regalo,un cadeau,禮物,ein Geschenk,贈り物 (Okurimono),un regalo,een cadeau,подарок (podarok),um presente,선물,ένα δώρο,الهدية,מתנה,ของขวัญ,donum,பரிசு,भेंट,isang regalo,ett present,en presang,hediye,lahja,هدیه,en gave,sebuah hadiah,dárek,ajándék,падарунак,подарунок (podarunok),ስጦታ (se-tho-taa),zawadi,подарък,dar,donaco,"Podarunek, prezent",un cadou,1050,370
10,a girl,una muchacha,une fille,女孩,ein Mädchen,少女 (Shoujo),una ragazza,een meisje,девочка (devochka),uma rapariga,소녀,ένα κορίτσι,البنت,ילדה,เด็กหญิง,puella,சிறுமி,लड़की,isang babae,en flicka,ei jente,kız,tyttö,دختر,en pige,seorang gadis,dívka,lány,дзяўчынка,дівчинка (dіvchynka),ወጣት ሴት ልጅ (wa-thaa-te see-te le-je),msichana,момиче,djevojčica,knabino,Dziewczyna,o fată,1050,190
11,a guest,un invitado,un invité,客人,ein Gast,客 (Kyaku),un ospite,een gast,гость (gost'),um convidado,손님,ένας φιλοξενούμενος,الضيف,אורח,แขก,hospes,விருந்தாளி,मेहमान,isang bisita,en gäst,en gjest,misafir,vieras,مهمان,en gæst,seorang tamu,host,vendég,госць,гість (hіst'),እንግዳ (ʾe-ne-ge-daa),mgeni,гост,gost,gasto,Gość,un musafir,1050,540
12,a kiss,un beso,une bise,親嘴,ein Kuss,キス (Kisu),un bacio,een kus,поцелуй (potseluj),um beijo,뽀뽀,ένα φιλί,القبلة,נשיקה,หอม,savium,முத்தம்,चुम्बन,isang halik,en puss,et kyss,öpücük,suudelma,بوسه,et kys,sebuah ciuman,polibek,csók,пацалунак,поцілунок (potsіlunok),መሳም (ma-saa-me),busu,целувка,poljubac,kiso,Pocałunek,un sărut,1050,230
13,a last name,un apellido,un nom de famille,姓,ein Nachname,姓 (Sei),un cognome,een achternaam,фамилия (familija),um sobrenome,성,ένα επίθετο,الاسم الأخير,שם משפחה,นามสกุล,cognomen,கடைசிப் பெயர்,उपनाम,isang apelyido,ett efternamn,et etternavn,soyad,sukunimi,نام خانوادگی,et efternavn,sebuah nama belakang,příjmení,vezetéknév,прозвішча,прізвище (prіzvyshche),ያባት ሰም (yaa-baa-te sa-me),jina la mwisho,фамилия,prezime,familia nomo,Nazwisko,un nume de familie,1050,160
14,a lie,una mentira,le mensonge,詐欺,eine Lüge,偽り (Itsuwari),una bugia,een leugen,ложь (lozh'),uma mentira,거짓말,ένα ψέμα,الكذب,שקר,คำโกหก,mendacium,பொய்,झूठ,kasinungalingan,en lögn,en løgn,yalan,valhe,دروغ,en løgn,suatu kebohongan,lež,hazugság,хлусня,брехня (brekhnja),ውሸት (we-sha-te),urongo,лъжа,laž,mensogo,Kłamstwo,o minciună,1050,510
15,a man,un hombre,un homme,男性,ein Mann,男性 (Dansei),un uomo,een man,мужчина (muzhchina),um homem,남자,ένας άντρας,الرجل,איש,ผู้ชาย,vir,ஆண்பிள்ளை,पुरुष,isang lalake,en man,en mann,erkek,mies,مرد,en mand,seorang lelaki,muž,férfi,мужчына,чоловік (cholovіk),ሰው (sa-we),mwanaume,мъж,muškarac,viro,Mężczyzna,un bărbat,1050,120
16,a name,un nombre,un nom,姓名,ein Name,名前 (Namae),un nome,een naam,имя (imja),um nome,이름,ένα όνομα,الاسم,שם,ชื่อ,nomen,பெயர்,नाम,isang pangalan,ett namn,et navn,isim,nimi,نام,et navn,sebuah nama,jméno,név,імя,ім'я (іm`ja),ስም (se-me),jina,име,ime,nomo,Imię,un nume,1050,150
17,a neighbor,un vecino,un voisin,鄰居,ein Nachbar,隣人 (Rinjin),un vicino,een buurman,сосед (sosed),um vizinho,이웃,ένας γείτονας,الجار,שכן,เพื่อนบ้าน,vicinus,அண்டை வீட்டார்,पड़ोसी,isang kapitbahay,en granne,en nabo,komşu,naapuri,همسایه,en nabo,seorang tetangga,soused,szomszéd,сусед,сусід (susіd),ጎረቤት (go-ra-bee-te),jirani,съсед,susjed,najbaro,Sąsiad,un vecin,1050,410
18,a person,una persona,une personne,人,eine Person,人 (Nin),una persona,een persoon,персона (persona),uma pessoa,사람,ένα άτομο,الشخص,דמות,คน,caput,நபர்,व्यक्ति,isang tao,en person,en person,kişi,henkilö,شخص,en person,seorang,osoba,személy,асоба,особа (osoba),ግለሰብ (ge-la-sa-be),mtu,личност,osoba,persono,Osoba,o persoană,1050,140
19,a postcard,una tarjeta postal,une carte postale,郵政明信片,eine Postkarte,はがき (Hagaki),una cartolina,een briefkaart,открытка (otkrytka),um postal,엽서,μια κάρτα,البطاقة البريدية,ברכה,โปสการ์ด,photocartula,அஞ்சல் அட்டை,पोस्ट-कार्ड,postkard,ett kort,et postkort,postal kart,postikortti,کارت‌پستال,et postkort,sebuah kartu pos,pohlednice,képeslap,паштоўка,листівка (lystіvka),ፖስትካርድ (po-se-te-kaa-re-de),kisanamu,пощенска картичка,razglednica,poŝtkarto,Pocztówka,o carte poștală,1050,210
20,a roommate,un compañero de habitación,un camarade de chambre,同屋者,ein Mitbewohner,ルームメート (Ru^mume^to),un compagno di stanza,een kamergenoot,,um companheiro de quarto,룸메이트,ένας συγκάτοικος,شريك الغرفة,שותף,ผู้ที่พักห้องเดียวกัน,vicinus,அறைத் தோழன்,कमरे में साथ रहने वाला,kasama sa kuwarto,en rumskamrat,en romkamerat,oda arkadaşı,huonetoveri,هم‌اتاقی,en bofælle,seorang teman sekamar,spolubydlící,szobatárs,сусед,,አብሮ የሚኖር ሰው (ʾa-be-ro ya-mi-no-re sa-we),Mkaazi wa nyumba sawa,съквартирант,cimer,kunvivanto,Współlokator,un coleg de cameră,1050,180
21,a voice,una voz,une voix,意見,eine Stimme,声 (Koe),una voce,een stem,голос (golos),uma voz,목소리,μια φωνή,الصوت,קול,เสียง,vox,குரல்,आवाज़,isang tinig,en röst,en stemme,ses,ääni,صدا,en stemme,sebuah suara,hlas,hang,голас,голос (holos),ድምፅ (de-me-tze),sauti,глас,glas,voĉo,Głos,o voce,1050,490
22,a woman,una mujer,une femme,女性,eine Frau,女性 (Josei),una donna,een vrouw,женщина (zhenshchina),uma mulher,여자,μια γυναίκα,الإمرأة,אישה,ผู้หญิง,femina,பெண்,"नारी, स्त्री",isang babae,en kvinna,en kvinne,kadın,nainen,زن,en kvinde,seorang wanita,žena,nő,жанчына,жінка (zhіnka),ሴት (see-te),mwanamke,жена,žena,virino,Kobieta,o femeie,1050,110
23,an enemy,un enemigo,un ennemi,敵人,ein Feind,敵 (Teki),un nemico,een vijand,враг (vrag),um inimigo,적,ένας εχθρός,عدو,אויב,ศัตรู,hostis,எதிரி,शत्रु,isang kaaway,en fiende,en fiende,düşman,vihollinen,دشمن,en fjende,seorang musuh,nepřítel,ellenség,вораг,ворог (voroh),ጠላት (tha-laa-te),adui,враг,neprijatelj,malamiko,Wróg,un dușman,1050,420
24,feminine,femenina,féminin,女性化,weiblich,女性 (Josei),femminile,vrouwelijk,женский (zhenskij),feminino,여성의,θηλυκιά,المؤنّث,נשי,เป็นหญิง,femineus,பெண்மையுள்ள,स्त्री लिंग,ang katotohanan,feminin,feminin,dişi,naisellinen,زنانه,feminin,feminim,ženský,nőies,жаночы,жіночий (zhіnochyj),ሴት ሰው (see-te sa-we),uke,женски,ženski rod,ina,Żeński,feminin,1050,290
25,help,ayuda,un aide,幫忙,die Hilfe,援助 (Enjo),aiuto,hulp,помощь (pomoshch'),ajuda,도와주다,βοήθεια,المساعدة,עזרה,การช่วย,auxilium,உதவி,सहायता,tulong,hjälp,hjelp,yardım,apu,کمک,hjælp,tolong,pomoc,segítség,дапамога,допомога (dopomoha),እርዳታ (ʾe-re-daa-taa),saidia,помощ,pomoć,helpo,Pomagać,ajutor,1050,300
26,like a crazy person,como una persona loca,comme un fou,癲狂的人,wie ein Verrückter,気が狂った人のように (KigaKuruttaNinNoyouni),come un pazzo,als een gek,как дурак (kak durak),como uma pessoa louca,미친 놈처럼,σαν ένας τρελλός,مثل الشخصِ المجنونِ,כמו משוגע,ราวกับคนบ้า,,பித்தன் போல,पागल व्यक्ति जैसा,tulad ng isang baliw,som en galen person,som en gal,deli gibi,kuin hullu,مانند یک آدم دیوانه,som en tosse,seperti orang gila,jako blázen,mint egy bolond ember,як дурань,як дурень (jak duren'),እንደ እብድ ሰው (ʾe-ne-da ʾe-be-de sa-we),kama mwenda wazimu,като ненормален,poput lude osobe,kiel frenezulo,Jak szalony,ca un nebun,1050,390
27,love,amor,un amour,愛,die Liebe,愛 (Ai),amore,liefde,любовь (ljubov'),amor,사랑,αγάπη,الحبّ,אהבה,ความรัก,amor,அன்பு,प्रेम,pag-ibig,kärlek,kjærlighet,sevgi,rakkaus,عشق,kærlighed,cinta,láska,"szeretet, szerelem",каханне,любов (ljubov),ፍቅር (fe-qe-re),penda,любов,ljubav,amo,Miłość,dragoste,1050,430
